time,open,high,low,close,volume
2023-01-01 00:00:00+00:00,20000.0,20050.0,19950.0,20020.0,1000.0
2023-01-02 00:00:00+00:00,20100.0,20150.0,20050.0,20120.0,1100.0
2023-01-03 00:00:00+00:00,20200.0,20250.0,20150.0,20220.0,1200.0
2023-01-04 00:00:00+00:00,20300.0,20350.0,20250.0,20320.0,1300.0
2023-01-05 00:00:00+00:00,20400.0,20450.0,20350.0,20420.0,1400.0
2023-01-06 00:00:00+00:00,20500.0,20550.0,20450.0,20520.0,1500.0
2023-01-07 00:00:00+00:00,20600.0,20650.0,20550.0,20620.0,1600.0
2023-01-08 00:00:00+00:00,20700.0,20750.0,20650.0,20720.0,1700.0
2023-01-09 00:00:00+00:00,20800.0,20850.0,20750.0,20820.0,1800.0
2023-01-10 00:00:00+00:00,20900.0,20950.0,20850.0,20920.0,1900.0
2023-01-11 00:00:00+00:00,21000.0,21050.0,20950.0,21020.0,2000.0
2023-01-12 00:00:00+00:00,21100.0,21150.0,21050.0,21120.0,2100.0
2023-01-13 00:00:00+00:00,21200.0,21250.0,21150.0,21220.0,2200.0
2023-01-14 00:00:00+00:00,21300.0,21350.0,21250.0,21320.0,2300.0
2023-01-15 00:00:00+00:00,21400.0,21450.0,21350.0,21420.0,2400.0
2023-01-16 00:00:00+00:00,21500.0,21550.0,21450.0,21520.0,2500.0
2023-01-17 00:00:00+00:00,21600.0,21650.0,21550.0,21620.0,2600.0
2023-01-18 00:00:00+00:00,21700.0,21750.0,21650.0,21720.0,2700.0
2023-01-19 00:00:00+00:00,21800.0,21850.0,21750.0,21820.0,2800.0
2023-01-20 00:00:00+00:00,21900.0,21950.0,21850.0,21920.0,2900.0
2023-01-21 00:00:00+00:00,22000.0,22050.0,21950.0,22020.0,3000.0
2023-01-22 00:00:00+00:00,22100.0,22150.0,22050.0,22120.0,3100.0
2023-01-23 00:00:00+00:00,22200.0,22250.0,22150.0,22220.0,3200.0
2023-01-24 00:00:00+00:00,22300.0,22350.0,22250.0,22320.0,3300.0
2023-01-25 00:00:00+00:00,22400.0,22450.0,22350.0,22420.0,3400.0
2023-01-26 00:00:00+00:00,22500.0,22550.0,22450.0,22520.0,3500.0
2023-01-27 00:00:00+00:00,22600.0,22650.0,22550.0,22620.0,3600.0
2023-01-28 00:00:00+00:00,22700.0,22750.0,22650.0,22720.0,3700.0
2023-01-29 00:00:00+00:00,22800.0,22850.0,22750.0,22820.0,3800.0
2023-01-30 00:00:00+00:00,22900.0,22950.0,22850.0,22920.0,3900.0
2023-01-31 00:00:00+00:00,23000.0,23050.0,22950.0,23020.0,4000.0
2023-02-01 00:00:00+00:00,23100.0,23150.0,23050.0,23120.0,4100.0
2023-02-02 00:00:00+00:00,23200.0,23250.0,23150.0,23220.0,4200.0
2023-02-03 00:00:00+00:00,23300.0,23350.0,23250.0,23320.0,4300.0
2023-02-04 00:00:00+00:00,23400.0,23450.0,23350.0,23420.0,4400.0
2023-02-05 00:00:00+00:00,23500.0,23550.0,23450.0,23520.0,4500.0
2023-02-06 00:00:00+00:00,23600.0,23650.0,23550.0,23620.0,4600.0
2023-02-07 00:00:00+00:00,23700.0,23750.0,23650.0,23720.0,4700.0
2023-02-08 00:00:00+00:00,23800.0,23850.0,23750.0,23820.0,4800.0
2023-02-09 00:00:00+00:00,23900.0,23950.0,23850.0,23920.0,4900.0
